input,time
2000,4741.775654203011
4000,10690.989471929777
6000,10766.551417618846
8000,12291.916693287409
10000,13094.264491827687
12000,12978.195261067234
14000,12936.802911134215
16000,13259.114716074415
18000,12814.00539509503
20000,14688.509325051808
22000,13749.86818115243
24000,14289.658192862003
26000,14625.872033641168
28000,14522.264612161158
30000,14470.63726161949
32000,15043.723207372246
34000,14704.860342680859
36000,15164.85628042062
38000,15519.558419761463
40000,14366.802130005915
42000,14522.937256447767
44000,6875.6965547892805
46000,7546.191126065522
48000,7596.1567503628485
50000,7406.641392536428
52000,7065.892298915167
54000,7356.346762030374
56000,7443.505264891397
58000,7315.007959785364
60000,7986.732716171697
62000,8075.948881628819
64000,6958.827949354079
66000,6590.467121998522
68000,7072.966769553546
70000,6858.575410437159
72000,6670.4448463655035
74000,6766.870310616083
76000,6997.6325257785475
78000,6829.503845447073
80000,6860.425070034818
82000,7114.280723957621
84000,7054.357677721797
86000,7152.695688237324
88000,6984.093010218446
90000,7068.16541748817
92000,6950.326848220831
94000,6963.486233435264
96000,7013.41757339997
98000,6953.416817932901
