input,time
2000,2163.203511306184
4000,2665.160143337315
6000,2534.159891849849
8000,2805.372296837456
10000,2847.8627540306
12000,2761.5264956157002
14000,2985.8871895808697
16000,3408.131306467406
18000,4124.997067883135
20000,3540.450224723471
22000,4557.998777771605
24000,3357.9192496261558
26000,3789.065765238313
28000,3693.57060940718
30000,3744.64794314053
32000,3306.6590508994823
34000,3370.185523482103
36000,4324.537421411795
38000,4175.37390460206
40000,4549.203747788189
42000,4796.59417088405
44000,4090.1716923527583
46000,4469.949927415284
48000,4628.364648992243
50000,3586.097080215734
52000,4004.2916758369142
54000,4185.1485291122
56000,3976.325945091161
58000,4427.192006114954
60000,4186.454789731092
62000,4532.775685977932
64000,4414.731970020781
66000,4204.579300638553
68000,4449.2374987540825
70000,4482.869179157427
72000,4338.991726839085
74000,4322.142826040279
76000,4406.069891915046
78000,4509.650725998185
80000,4521.941141584919
82000,4602.22290274106
84000,4755.485258578385
86000,4406.6496209943425
88000,4220.419217701033
90000,5085.998254318833
92000,4216.866566263969
94000,4216.394345619794
96000,4312.915524207782
98000,4641.95605663952
