input,time
2000,9643.285738096562
4000,12580.635573210368
6000,15963.512287264579
8000,15996.315226600369
10000,17372.734141490462
12000,19243.644848563414
14000,19923.462090968977
16000,22596.32289113119
18000,25373.989962901007
20000,25452.17473430408
22000,28099.462623548603
24000,25959.53314598679
26000,28309.606023957367
28000,28804.288509081387
30000,29385.501427783067
32000,31793.65206129188
34000,34606.473223768706
36000,38620.419816110545
38000,40664.728844236386
40000,41366.48074022428
42000,41972.79225606417
44000,43507.680827476834
46000,44457.04723924454
48000,47791.7187308304
50000,43444.90187755973
52000,44022.09684208727
54000,48594.94566861249
56000,51487.279935079234
58000,52674.78271031171
60000,53963.19622814116
62000,55178.44153842569
64000,56577.15360616946
66000,57116.151879043566
68000,58735.350221160494
70000,61086.083311243354
72000,62137.36240333704
74000,62513.10512478247
76000,62982.53462358863
78000,65173.342127267984
80000,66049.27923511005
82000,68462.37068071908
84000,69186.12048428635
86000,70078.37103148713
88000,72411.14104942052
90000,73415.02063582794
92000,74374.20733599919
94000,75716.17389618664
96000,76954.96823491695
98000,78096.23593677544
