input	time
1000	9441.49305478386
1100	11833.1364784322
1200	8623.36253356792
1300	8740.15941533464
1400	8734.79792046988
1500	12151.4788502852
1600	8890.93548163067
1700	8882.38381593568
1800	11499.9070312982
1900	8957.26551260308
2000	11190.9203844658
2100	9006.48494629345
2200	11205.9272185464
2300	9074.9327020629
2400	11221.180563915
2500	9038.04889106182
2600	11105.8766613958
2700	9220.22037943948
2800	10971.9255922854
2900	9285.7776926319
3000	9212.74699062928
3100	11590.6235348937
3200	9400.53421993819
3300	9281.56506953096
3400	11519.2740939246
3500	10810.5343344233
3600	9357.9216642489
3700	9484.06459653443
3800	11534.1165531156
3900	10704.9176044902
4000	10778.8407733548
4100	10814.7782053714
4200	10903.4100373026
4300	9589.28951652498
4400	9580.2470011869
4500	11501.6754981604
4600	10488.3708543685
4700	10511.8419584387
4800	10488.2135697586
4900	10528.1136533708
5000	9587.18715971466
5100	11533.3310965381
5200	10770.1909442509
5300	10608.6563030672
5400	10725.591082121
5500	10617.5714256854
5600	10664.6443778646
5700	11312.8484375914
5800	10757.4240311117
5900	10706.1547863425
6000	10676.5706587159
6100	11588.8525656205
6200	10787.785193283
6300	10724.9244607489
6400	11691.0927099429
6500	10770.3313389972
6600	11357.0298489874
6700	10851.4660773811
6800	10806.4031275021
6900	11611.4477849885
7000	10635.2594803092
7100	11708.9756647209
7200	11416.3418725598
7300	10922.2081462427
7400	11565.2582771513
7500	10755.1040163558
7600	11218.9747510929
7700	11289.0420063782
7800	10719.5732987649
7900	11201.7295039311
8000	11251.5517159961
8100	10878.3109233323
8200	11704.1639859619
8300	11380.6777065289
8400	11264.580563235
8500	11408.2895854848
8600	10794.7495187276
8700	11765.4366083858
8800	11269.4811550651
8900	11323.2843231501
9000	11251.4407955654
9100	11311.01589763
9200	11345.0602664283
9300	11362.6668657929
9400	11346.3639050107
9500	11300.9103030445
9600	11314.6062338684
9700	11306.9996792632
9800	11255.9091146158
9900	11216.3330340408
10000	11818.6968521872
10100	12332.2221476584
10200	11436.0949792481
10300	11372.9266874508
10400	11269.1645209885
10500	11784.1365093811
10600	11363.3488506169
10700	11308.5188008183
10800	11281.8552968652
10900	12285.1277688865
11000	11419.7744421661
11100	11282.9019209402
11200	12473.5325548865
11300	11378.0413475059
11400	12394.307429897
11500	11412.5788171866
11600	11826.8901426259
11700	11373.6966542892
11800	11738.7542820554
11900	11448.9001391236
12000	11697.6973120121
12100	11281.18614496
12200	12357.1248372025
12300	11932.6361033072
12400	11364.3231211749
12500	11655.4265104579
12600	11843.687722114
12700	11570.5531194499
12800	11926.3290827177
12900	11793.8805416067
13000	11419.7519295037
13100	12502.301325711
13200	11955.1069621798
13300	11868.4562193502
13400	11444.2511463611
13500	12434.7936443921
13600	12462.5171284079
13700	11862.7675650249
13800	11803.4167183311
13900	11741.2447021959
14000	11766.0968579116
14100	11822.8584149599
14200	11926.5378602336
14300	11594.4775794684
14400	12395.9414733138
14500	12431.2805768627
14600	12515.980190108
14700	12556.706528394
14800	11854.8712527872
14900	11779.2718886793
15000	12449.6993385136
15100	12445.3824678622
15200	12456.8664756321
15300	12429.2970609808
15400	12525.3548871204
15500	12428.7156252016
15600	13848.7359952706
15700	22528.1011259811
15800	19292.3536311788
15900	20730.2526782158
16000	15559.673150508
16100	15156.3718659204
16200	16561.8113773071
16300	24799.5563432607
16400	23875.8178510695
16500	17630.7505707109
16600	22839.0547527092
16700	19992.1552904544
16800	15981.7727233646
16900	16128.5188134044
17000	16685.4374080876
17100	15254.982410542
17200	14933.2030956272
17300	16892.3761167381
17400	15110.7219841761
17500	15555.4943459958
17600	14951.866261782
17700	16654.8590009981
17800	15126.0909493817
17900	15516.3904865952
18000	15046.0041975568
18100	15476.4281118976
18200	15067.2442872057
18300	16664.5675140711
18400	15072.0619870893
18500	15395.4224109454
18600	15826.7546819276
18700	15127.288902489
18800	16784.321969988
18900	15110.661591191
19000	16664.9400230411
19100	15108.6706263562
19200	16650.3921087506
19300	15356.2107669014
19400	13630.9726630737
19500	12042.8279819258
19600	12995.6107744375
19700	12488.2389748391
19800	16711.0004321012
19900	15797.6083339382
20000	15135.6350979728
20100	16525.6592407918
20200	13970.1250721951
20300	12289.7427353188
20400	13048.8922761017
20500	12316.9704605445
20600	12218.2903953096
20700	12306.1434629279
20800	11909.9015272517
20900	12945.001887304
21000	12144.6191038048
21100	12170.0572988799
21200	12149.7516391595
21300	13071.9505735554
21400	12160.0255972253
21500	12180.5532896811
21600	12966.7341550111
21700	12236.9959754018
21800	12140.3292422489
21900	12298.2730353782
22000	12206.0900509599
22100	12172.5010231323
22200	12180.3727245882
22300	12953.2313265138
22400	11998.6783267774
